Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2005-04-30,10192.51,2005-12-31,10717.5,Sell,174 days,Fall by -36.670000%,-5.15
2006-02-28,10993.41,2006-11-30,12221.93,Buy,196 days,Rise by 14.810000%,11.18
2006-10-31,12080.73,2007-07-31,13211.99,Buy,194 days,Rise by 12.800000%,9.36
2007-01-31,12621.69,2007-12-31,13264.82,Buy,237 days,Rise by 10.370000%,5.1
2008-02-29,12266.39,2008-10-31,9325.01,Sell,174 days,Fall by 11.540000%,23.98
2008-10-31,9325.01,2009-03-31,7608.92,Sell,106 days,Fall by 18.400000%,18.4
2008-11-30,8829.04,2009-04-30,8168.12,Sell,107 days,Fall by -10.700000%,7.49
2010-06-30,9774.02,2010-09-30,10788.05,Sell,65 days,Fall by -11.660000%,-10.37
2011-09-30,10913.38,2011-11-30,12045.68,Sell,42 days,Fall by -50.800000%,-10.38
2012-03-31,13212.04,2013-05-31,15115.57,Buy,303 days,Rise by 1.700000%,14.41
2013-02-28,14054.49,2013-07-31,15499.54,Buy,108 days,Rise by 10.280000%,10.28
2013-04-30,14839.8,2014-02-28,16321.71,Buy,217 days,Rise by 11.700000%,9.99
2015-09-30,16284.7,2016-07-31,18432.24,Sell,217 days,Fall by -48.010000%,-13.19
2016-01-31,16466.3,2016-07-31,18432.24,Sell,129 days,Fall by -54.350000%,-11.94
2016-06-30,17929.99,2017-03-31,20663.22,Buy,195 days,Rise by 45.840000%,15.24
2016-12-31,19762.6,2017-05-31,21008.65,Buy,106 days,Rise by 32.320000%,6.31
2017-10-31,23377.24,2018-08-31,25964.82,Buy,217 days,Rise by 13.180000%,11.07
2017-12-31,24719.22,2019-02-28,25916.0,Buy,302 days,Rise by 7.040000%,4.84
2020-03-31,21917.16,2020-04-30,24345.72,Sell,21 days,Fall by -54.420000%,-11.08
2021-04-30,33874.85,2022-05-31,32990.12,Buy,281 days,Rise by 7.270000%,-2.61
2023-07-31,35559.53,2024-03-31,39807.37,Buy,174 days,Rise by 11.950000%,11.95
2024-01-31,38150.3,2024-09-30,42330.15,Buy,172 days,Rise by 17.720000%,10.96
