Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-07-24,3215.63,2020-08-03,3294.61,Sell,5 days,Fall by -3.610000%,-2.46,
2020-08-06,3349.16,2020-08-17,3381.99,Buy,6 days,Rise by 6.920000%,0.98,
2020-08-10,3360.47,2020-08-18,3389.78,Buy,5 days,Rise by 6.560000%,0.87,
2020-10-14,3488.67,2020-10-23,3465.39,Sell,6 days,Fall by 6.270000%,0.67,
2020-10-27,3390.68,2020-11-02,3310.24,Sell,3 days,Fall by -9.540000%,2.37,
2021-02-05,3886.83,2021-02-17,3931.33,Buy,7 days,Rise by 8.900000%,1.14,
2021-02-08,3915.59,2021-03-31,3972.89,Buy,36 days,Rise by 8.100000%,1.46,
2021-04-16,4185.47,2021-06-02,4208.12,Buy,32 days,Rise by 1.130000%,0.54,
2021-07-01,4319.94,2021-07-14,4374.3,Buy,8 days,Rise by 5.020000%,1.26,
2021-09-13,4468.73,2021-09-23,4448.98,Sell,7 days,Fall by 3.770000%,0.44,
2021-09-20,4357.73,2021-09-23,4448.98,Sell,2 days,Fall by 1.310000%,-2.09,
2021-10-18,4486.46,2021-10-22,4544.9,Buy,3 days,Rise by 4.800000%,1.3,
2022-01-19,4532.76,2022-01-26,4349.93,Sell,4 days,Fall by 6.780000%,4.03,
2022-01-21,4397.94,2022-01-28,4431.85,Sell,4 days,Fall by 3.920000%,-0.77,
2022-03-17,4411.67,2022-03-24,4520.16,Buy,4 days,Rise by -10.800000%,2.46,
2022-07-20,3959.9,2022-08-02,4091.19,Buy,8 days,Rise by 8.720000%,3.32,
2022-09-16,3873.33,2022-09-27,3647.29,Sell,6 days,Fall by 7.430000%,5.84,
2022-10-24,3797.34,2022-10-28,3901.06,Buy,3 days,Rise by 7.450000%,2.73,
2022-11-01,3856.1,2022-11-07,3806.8,Sell,3 days,Fall by 1.890000%,1.28,
2022-11-03,3719.89,2022-11-07,3806.8,Sell,1 days,Fall by -1.700000%,-2.34,
2022-11-23,4027.26,2023-02-06,4111.08,Buy,52 days,Rise by 3.790000%,2.08,
2022-12-16,3852.36,2023-01-06,3895.08,Sell,14 days,Fall by -0.090000%,-1.11,
2023-01-12,3983.17,2023-01-31,4076.6,Buy,12 days,Rise by 4.940000%,2.35,
2023-03-01,3951.39,2023-03-03,4045.64,Sell,1 days,Fall by -2.650000%,-2.39,
2023-03-23,3948.72,2023-03-30,4050.83,Sell,4 days,Fall by -2.720000%,-2.59,
2023-03-30,4050.83,2023-04-05,4090.38,Buy,3 days,Rise by 2.570000%,0.98,
2023-05-24,4115.24,2023-05-26,4205.45,Sell,1 days,Fall by -6.180000%,-2.19,
2023-06-28,4376.86,2023-07-06,4411.59,Buy,5 days,Rise by 4.850000%,0.79,
2023-09-20,4402.2,2023-09-26,4273.53,Sell,3 days,Fall by 6.470000%,2.92,
2023-09-21,4330.0,2023-10-05,4258.19,Sell,9 days,Fall by 4.910000%,1.66,
2023-09-22,4320.06,2023-10-05,4258.19,Sell,8 days,Fall by 4.690000%,1.43,
2023-10-27,4117.37,2023-11-01,4237.86,Sell,2 days,Fall by -13.880000%,-2.93,
2023-11-14,4495.7,2023-11-22,4556.62,Buy,5 days,Rise by 6.400000%,1.36,
2024-06-12,5421.03,2024-06-24,5447.87,Buy,7 days,Rise by 4.540000%,0.5,
2024-07-24,5427.13,2024-07-31,5522.3,Sell,4 days,Fall by 0.340000%,-1.75,
2024-09-06,5408.42,2024-09-11,5554.13,Sell,2 days,Fall by -5.320000%,-2.69,
2024-11-07,5973.1,2024-12-02,6047.15,Buy,16 days,Rise by 1.960000%,1.24,
2024-11-22,5969.34,2024-12-02,6047.15,Buy,5 days,Rise by 2.500000%,1.3,
2024-12-19,5867.08,2024-12-24,6040.04,Sell,2 days,Fall by 0.680000%,-2.95,
2024-12-30,5906.94,2025-01-15,5949.91,Sell,11 days,Fall by -1.480000%,-0.73,
2024-12-31,5881.63,2025-01-15,5949.91,Sell,10 days,Fall by -1.920000%,-1.16,
2025-02-24,5983.25,2025-03-07,5770.2,Sell,8 days,Fall by 7.720000%,3.56,
2025-02-26,5956.06,2025-03-07,5770.2,Sell,6 days,Fall by 7.300000%,3.12,
2025-04-04,5074.08,2025-04-09,5456.9,Sell,2 days,Fall by -22.940000%,-7.54,
2025-04-17,5282.7,2025-04-22,5287.76,Sell,2 days,Fall by -18.080000%,-0.1,
2025-05-13,5886.55,2025-06-06,6000.36,Buy,17 days,Rise by 8.550000%,1.93,
2025-07-08,6225.52,2025-07-23,6358.91,Sell,10 days,Fall by -0.200000%,-2.14,
2025-07-29,6370.86,2025-08-06,6345.06,Sell,5 days,Fall by -2.850000%,0.4,
2025-09-19,6664.36,2025-10-07,6714.59,Buy,11 days,Rise by 1.340000%,0.75,
2025-10-01,6711.2,2025-10-29,6890.59,Buy,19 days,Rise by 1.920000%,2.67,
