Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
1938-03-31,8.5,1938-06-30,11.56,Sell,64 days,Fall by -27.760000%,-36.0
1942-03-31,8.01,1942-12-31,9.77,Sell,196 days,Fall by -59.050000%,-21.97
1945-03-31,13.61,1946-03-31,18.04,Buy,259 days,Rise by 35.420000%,32.55
1950-03-31,17.29,1951-09-30,23.26,Buy,390 days,Rise by 41.930000%,34.53
1954-09-30,32.31,1955-12-31,45.48,Buy,326 days,Rise by 50.050000%,40.76
1954-12-31,35.98,1956-03-31,48.48,Buy,325 days,Rise by 34.740000%,34.74
1957-12-31,39.99,1958-09-30,50.06,Sell,194 days,Fall by -42.340000%,-25.18
1963-12-31,75.02,1965-03-31,86.16,Buy,325 days,Rise by 12.960000%,14.85
1969-09-30,93.12,1970-12-31,92.15,Sell,326 days,Fall by 21.910000%,1.04
1969-12-31,92.06,1970-12-31,92.15,Sell,260 days,Fall by -16.380000%,-0.1
1972-12-31,118.05,1977-09-30,96.53,Buy,1238 days,Rise by -17.370000%,-18.23
1979-06-30,102.91,1981-06-30,131.21,Buy,520 days,Rise by 32.150000%,27.5
1980-09-30,125.46,1983-12-31,164.93,Buy,848 days,Rise by -10.760000%,31.46
1980-12-31,135.76,1983-12-31,164.93,Buy,782 days,Rise by -14.420000%,21.49
1982-06-30,109.61,1982-12-31,140.64,Sell,131 days,Fall by -52.580000%,-28.31
1986-03-31,238.9,1988-09-30,271.91,Buy,653 days,Rise by 34.710000%,13.82
1995-09-30,584.41,1996-12-31,740.74,Buy,325 days,Rise by 88.520000%,26.75
1995-12-31,615.93,1997-09-30,947.28,Buy,455 days,Rise by 84.090000%,53.8
2013-09-30,1681.55,2014-12-31,2058.9,Buy,326 days,Rise by 22.980000%,22.44
2019-12-31,3230.78,2021-09-30,4307.54,Buy,456 days,Rise by 17.170000%,33.33
2021-03-31,3972.89,2022-03-31,4530.41,Buy,260 days,Rise by 19.970000%,14.03
