Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-01-15,1289.09,2012-02-12,1342.64,Buy,19 days,Rise by 9.260000%,4.15
2012-05-20,1295.22,2012-06-17,1342.84,Sell,19 days,Fall by -4.990000%,-3.68
2013-07-21,1692.09,2013-11-10,1770.61,Buy,79 days,Rise by 8.880000%,4.64
2013-10-27,1759.77,2013-12-08,1805.09,Buy,29 days,Rise by 4.690000%,2.58
2013-11-10,1770.61,2013-12-15,1775.32,Buy,24 days,Rise by 4.050000%,0.27
2014-02-02,1782.59,2014-03-09,1878.04,Sell,24 days,Fall by -1.860000%,-5.35
2014-02-16,1838.63,2014-04-06,1865.09,Buy,34 days,Rise by 7.980000%,1.44
2014-03-09,1878.04,2014-06-22,1962.87,Buy,74 days,Rise by 5.720000%,4.52
2014-10-19,1886.76,2014-11-02,2018.05,Sell,9 days,Fall by -5.740000%,-6.96
2015-12-20,2005.55,2016-02-07,1880.05,Sell,34 days,Fall by 7.020000%,6.26
2016-01-10,1922.03,2016-03-06,1999.99,Sell,39 days,Fall by -6.000000%,-4.06
2016-05-08,2057.14,2016-07-17,2161.74,Sell,49 days,Fall by 0.960000%,-5.08
2016-06-26,2037.41,2016-07-17,2161.74,Sell,14 days,Fall by -4.440000%,-6.1
2016-07-24,2175.03,2016-12-18,2258.07,Buy,104 days,Rise by 9.570000%,3.82
2016-11-20,2181.9,2016-12-18,2258.07,Buy,19 days,Rise by 9.220000%,3.49
2017-02-26,2367.34,2017-06-18,2433.15,Buy,79 days,Rise by 3.030000%,2.78
2018-05-06,2663.42,2018-07-15,2801.31,Sell,49 days,Fall by 9.270000%,-5.18
2018-07-22,2801.83,2018-09-02,2901.52,Buy,29 days,Rise by 4.560000%,3.56
2018-11-25,2632.56,2018-12-02,2760.17,Sell,4 days,Fall by -4.540000%,-4.85
2018-12-23,2416.62,2019-01-06,2531.94,Sell,9 days,Fall by -13.880000%,-4.77
2019-09-15,3007.39,2019-11-24,3110.29,Buy,49 days,Rise by 12.400000%,3.42
2019-10-27,3022.55,2019-11-24,3110.29,Buy,19 days,Rise by 11.830000%,2.9
2019-11-03,3066.91,2019-12-08,3145.91,Buy,24 days,Rise by 10.210000%,2.58
2019-11-17,3120.46,2020-01-05,3234.85,Buy,34 days,Rise by 8.320000%,3.67
2019-12-15,3168.8,2020-01-12,3265.35,Buy,19 days,Rise by 6.670000%,3.05
2019-12-22,3221.22,2020-08-30,3508.01,Buy,179 days,Rise by 4.930000%,8.9
2019-12-29,3240.02,2020-08-30,3508.01,Buy,174 days,Rise by 4.330000%,8.27
2020-03-08,2972.37,2020-03-29,2541.47,Sell,14 days,Fall by -10.970000%,14.5
2020-03-22,2304.92,2020-03-29,2541.47,Sell,4 days,Fall by -43.110000%,-10.26
2020-12-06,3699.12,2021-02-28,3811.15,Buy,59 days,Rise by 14.420000%,3.03
2021-03-07,3841.94,2021-04-11,4128.8,Sell,24 days,Fall by -13.410000%,-7.47
2021-04-18,4185.47,2021-07-25,4411.79,Buy,69 days,Rise by 8.360000%,5.41
2021-09-19,4432.99,2021-10-31,4605.38,Sell,29 days,Fall by 5.160000%,-3.89
2022-04-17,4392.59,2022-05-22,3901.36,Sell,24 days,Fall by 11.190000%,11.18
2022-05-01,4131.93,2022-05-29,4158.24,Sell,19 days,Fall by 11.060000%,-0.64
2022-09-25,3693.23,2022-10-23,3752.75,Sell,19 days,Fall by -3.960000%,-1.61
2023-02-05,4136.48,2023-06-25,4348.33,Buy,99 days,Rise by 10.780000%,5.12
2023-03-26,3970.99,2023-04-30,4169.48,Buy,24 days,Rise by 15.390000%,5.0
2023-07-30,4582.23,2024-01-07,4697.24,Buy,114 days,Rise by -10.140000%,2.51
2023-10-29,4117.37,2023-11-05,4358.34,Sell,4 days,Fall by -20.640000%,-5.85
2023-12-10,4604.37,2024-01-14,4783.83,Buy,24 days,Rise by 14.120000%,3.9
2023-12-24,4754.63,2024-02-18,5005.57,Buy,39 days,Rise by 10.510000%,5.28
2024-03-03,5137.08,2024-06-02,5277.51,Buy,64 days,Rise by 9.310000%,2.73
2024-06-16,5431.6,2024-07-21,5505.0,Buy,24 days,Rise by 12.130000%,1.35
2024-06-30,5460.48,2024-10-13,5815.03,Buy,74 days,Rise by 11.530000%,6.49
2024-09-29,5738.17,2024-12-08,6090.27,Buy,49 days,Rise by 6.140000%,6.14
2024-10-13,5815.03,2024-12-08,6090.27,Buy,39 days,Rise by 4.730000%,4.73
2024-12-08,6090.27,2025-07-27,6388.64,Buy,164 days,Rise by 0.400000%,4.9
2025-03-16,5638.94,2025-04-13,5363.36,Sell,19 days,Fall by -21.300000%,4.89
2025-07-20,6296.79,2025-09-07,6481.5,Buy,34 days,Rise by 8.630000%,2.93
