Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2011-12-25,20.73,2012-04-08,16.7,Sell,74 days,Fall by 14.230000%,19.44,
2012-05-20,25.1,2014-03-09,14.11,Buy,469 days,Rise by -31.870000%,-43.78,
2012-10-21,17.06,2014-03-09,14.11,Buy,359 days,Rise by 33.180000%,-17.29,
2012-12-16,17.0,2014-03-09,14.11,Buy,319 days,Rise by -24.120000%,-17.0,
2012-12-30,22.72,2014-03-09,14.11,Buy,309 days,Rise by -45.160000%,-37.9,
2013-01-13,13.36,2013-06-23,18.9,Sell,114 days,Fall by 15.420000%,-41.47,
2013-06-23,18.9,2014-03-09,14.11,Buy,184 days,Rise by -29.050000%,-25.34,
2013-11-17,12.19,2014-07-20,12.06,Sell,174 days,Fall by 0.410000%,1.07,
2014-02-02,18.41,2014-11-16,13.31,Buy,204 days,Rise by -18.520000%,-27.7,
2014-05-18,12.44,2014-08-03,17.03,Sell,54 days,Fall by 17.040000%,-36.9,
2014-06-01,11.4,2014-08-03,17.03,Sell,44 days,Fall by -4.300000%,-49.39,
2014-10-19,21.99,2015-09-27,23.62,Buy,244 days,Rise by -45.930000%,7.41,
2015-05-17,12.38,2015-08-23,28.03,Sell,69 days,Fall by 3.470000%,-126.41,
2015-06-07,14.21,2015-09-20,22.28,Buy,74 days,Rise by -14.710000%,56.79,
2016-05-15,15.04,2016-06-26,25.76,Sell,29 days,Fall by 12.230000%,-71.28,
2016-06-26,25.76,2017-09-10,12.12,Buy,314 days,Rise by -55.160000%,-52.95,
2016-07-24,12.02,2016-09-11,17.5,Sell,34 days,Fall by 11.980000%,-45.59,
2016-08-14,11.55,2016-09-11,17.5,Sell,19 days,Fall by 8.400000%,-51.52,
2016-11-27,12.34,2017-05-28,9.81,Sell,129 days,Fall by 14.260000%,20.5,
2017-02-05,10.97,2017-06-25,10.02,Sell,99 days,Fall by 10.570000%,8.66,
2017-04-16,15.96,2018-03-11,14.64,Buy,234 days,Rise by -38.910000%,-8.27,
2017-08-20,14.26,2018-03-04,19.59,Buy,139 days,Rise by -32.330000%,37.38,
2018-02-11,29.06,2018-11-11,17.36,Buy,194 days,Rise by -31.280000%,-40.26,
2018-09-23,11.68,2018-10-14,21.31,Sell,14 days,Fall by -2.830000%,-82.45,
2019-02-03,16.14,2019-04-28,12.73,Sell,59 days,Fall by 15.060000%,21.13,
2019-02-17,14.91,2019-04-28,12.73,Sell,49 days,Fall by 14.020000%,14.62,
2019-11-17,12.05,2020-02-02,18.84,Sell,54 days,Fall by -0.410000%,-56.35,
2020-01-19,12.1,2020-02-02,18.84,Sell,9 days,Fall by -102.640000%,-55.7,
2020-03-01,40.11,2022-01-02,17.22,Buy,479 days,Rise by -10.420000%,-57.07,
