Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
TRENDPULSE,ATM.NZ,Long,Weekly,2026-02-27,11.55,,,11.55,0.0000%,,Open,90.0
TRENDPULSE,CNU.NZ,Long,Weekly,2026-02-27,9.58,,,9.58,0.0000%,,Open,100.0
DELTADRIFT,SUM.NZ,Long,Weekly,2026-02-27,10.66,,,10.66,0.0000%,,Open,71.43
TRENDPULSE,ATM.NZ,Long,Daily,2026-02-27,11.55,,,11.55,0.0000%,,Open,91.89
TRENDPULSE,MX.TO,Long,Weekly,2026-02-27,68.82,,,68.82,0.0000%,,Open,82.61
BASELINEDIVERGENCE,NVDA,Long,Weekly,2026-02-27,177.19,,,177.19,0.0000%,,Open,83.7
BASELINEDIVERGENCE,^GSPC,Long,Weekly,2026-02-27,6878.8799,,,6878.8799,0.0000%,,Open,88.46
TRENDPULSE,AIA.NZ,Long,Weekly,2026-02-27,9.16,,,9.16,0.0000%,,Open,100.0
TRENDPULSE,XIU.TO,Long,Weekly,2026-02-27,49.71,,,49.71,0.0000%,,Open,93.75
DELTADRIFT,UBER,Long,Weekly,2026-02-27,75.42,,,75.42,0.0000%,,Open,100.0
FRACTAL TRACK,UPS,Long,Daily,2026-02-27,115.96,,,115.96,0.0000%,,Open,90.91
DELTADRIFT,TRI.TO,Long,Weekly,2026-02-27,131.33,,,131.33,0.0000%,,Open,100.0
FRACTAL TRACK,BYD.TO,Long,Daily,2026-02-27,238.09,,,238.09,0.0000%,,Open,85.71
TRENDPULSE,SONY,Long,Daily,2026-02-27,23.06,,,23.06,0.0000%,,Open,85.71
FRACTAL TRACK,BAC,Long,Daily,2026-02-26,52.3,,,49.83,-4.7228%,,Open,100.0
TRENDPULSE,ABNB,Long,Daily,2026-02-26,136.97,,,135.11,-1.3580%,,Open,90.48
FRACTAL TRACK,JPM,Long,Daily,2026-02-26,306.13,,,300.3,-1.9044%,,Open,100.0
TRENDPULSE,^NZ50,Long,Daily,2026-02-26,13537.6299,,,13722.9697,1.3691%,,Open,84.62
SIGMASHELL,NVO,Long,Daily,2026-02-26,37.62,,,37.45,-0.4519%,,Open,81.82
TRENDPULSE,USCI,Long,Daily,2026-02-25,84.6,,,85.38,0.9220%,,Open,100.0
FRACTAL TRACK,JETS,Long,Daily,2026-02-25,28.91,,,28.45,-1.5911%,,Open,100.0
FRACTAL TRACK,SJ.TO,Long,Daily,2026-02-25,95.6,,,93.61,-2.0816%,,Open,93.75
TRENDPULSE,ENZL,Long,Daily,2026-02-25,47.1645,,,47.4776,0.6638%,,Open,88.24
DELTADRIFT,TCS.NS,Long,Daily,2026-02-25,2629.3,,,2637.3999,0.3081%,,Open,86.67
FRACTAL TRACK,XLY,Long,Daily,2026-02-25,117.09,,,116.86,-0.1964%,,Open,93.75
DELTADRIFT,MA,Long,Daily,2026-02-25,509.39,,,517.21,1.5352%,,Open,93.33
TRENDPULSE,DOL.TO,Long,Daily,2026-02-24,196.37,,,200.82,2.2661%,,Open,100.0
FRACTAL TRACK,BIPC.TO,Long,Daily,2026-02-24,67.19,,,68.02,1.2353%,,Open,93.33
FRACTAL TRACK,PFE,Long,Daily,2026-02-24,27.14,,,27.65,1.8791%,,Open,93.33
SIGMASHELL,NVO,Long,Daily,2026-02-24,38.59,,,37.45,-2.9541%,,Open,81.82
FRACTAL TRACK,BPCL.NS,Long,Daily,2026-02-24,374.45,,,385.4,2.9243%,,Open,86.67
FRACTAL TRACK,GBPSGD=X,Long,Daily,2026-02-23,1.7075,,,1.7045,-0.1757%,,Open,100.0
SIGMASHELL,NVO,Long,Daily,2026-02-23,39.63,,,37.45,-5.5009%,,Open,81.82
TRENDPULSE,AIA.NZ,Long,Daily,2026-02-23,8.95,,,9.16,2.3464%,,Open,82.05
DELTADRIFT,GBPSGD=X,Long,Daily,2026-02-23,1.7075,,,1.7045,-0.1757%,,Open,71.43
FRACTAL TRACK,EURUSD=X,Long,Daily,2026-02-23,1.179,,,1.1826,0.3053%,,Open,83.33
BASELINEDIVERGENCE,GLXY,Long,Weekly,2026-02-22,21.2,,,20.59,-2.8774%,,Open,100.0
TRENDPULSE,CNQ.TO,Long,Weekly,2026-02-22,58.0,,,59.67,2.8793%,,Open,86.36
FRACTAL TRACK,VGT,Long,Weekly,2026-02-22,737.6,,,726.7,-1.4778%,,Open,100.0
FRACTAL TRACK,TSLA,Long,Weekly,2026-02-22,411.82,,,402.51,-2.2607%,,Open,73.33
FRACTAL TRACK,ETH-USD,Long,Weekly,2026-02-22,1957.8059,,,1921.1412,-1.8727%,,Open,100.0
TRENDPULSE,CNR.TO,Long,Weekly,2026-02-22,151.19,,,153.07,1.2435%,,Open,88.0
BASELINEDIVERGENCE,DOL.TO,Long,Weekly,2026-02-22,192.09,,,200.82,4.5447%,,Open,84.81
FRACTAL TRACK,AMD,Long,Weekly,2026-02-22,200.15,,,200.21,0.0300%,,Open,83.33
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2026-02-22,911.85,,,887.75,-2.6430%,,Open,82.0
FRACTAL TRACK,SONY,Long,Weekly,2026-02-22,21.93,,,23.06,5.1528%,,Open,100.0
DELTADRIFT,KXS.TO,Long,Weekly,2026-02-22,124.2,,,129.51,4.2754%,,Open,100.0
FRACTAL TRACK,^NSEI,Long,Weekly,2026-02-22,25571.25,,,25178.6504,-1.5353%,,Open,95.24
FRACTAL TRACK,HYG,Long,Weekly,2026-02-22,81.0,,,80.72,-0.3457%,,Open,100.0
BASELINEDIVERGENCE,NVDA,Long,Weekly,2026-02-22,189.82,,,177.19,-6.6537%,,Open,83.7
DELTADRIFT,NFLX,Long,Weekly,2026-02-22,78.67,2026-02-26,84.59,84.59,7.5251%,4.0,Closed,80.0
FRACTAL TRACK,RELIANCE.NS,Long,Weekly,2026-02-22,1419.4,,,1393.9,-1.7965%,,Open,90.48
TRENDPULSE,TSM,Long,Weekly,2026-02-22,370.54,,,374.58,1.0903%,,Open,100.0
