Date,Close,High,Low,Open,Volume
1998-12-22,23.265625,23.390625,23.1875,23.3125,15200
1998-12-23,23.75,23.75,23.3125,23.34375,67800
1998-12-24,23.625,23.8125,23.59375,23.8125,12300
1998-12-28,23.5,23.75,23.34375,23.75,13500
1998-12-29,23.734375,23.734375,23.34375,23.5625,22000
1998-12-30,23.375,23.71875,23.359375,23.71875,21800
1998-12-31,23.34375,23.34375,23.21875,23.34375,13000
1999-01-04,23.328125,23.75,23.28125,23.28125,28600
1999-01-05,23.203125,23.46875,23.171875,23.46875,42700
1999-01-06,23.96875,24.0,23.3125,23.46875,56400
1999-01-07,23.859375,23.984375,23.578125,23.96875,72600
1999-01-08,23.96875,24.5625,23.375,24.0,421100
1999-01-11,23.515625,23.78125,23.4375,23.75,35000
1999-01-12,23.15625,23.59375,23.125,23.5,89200
1999-01-13,22.8125,23.1875,22.6875,22.75,42400
1999-01-14,22.375,22.875,22.375,22.75,70000
1999-01-15,22.71875,22.75,22.453125,22.5625,10700
1999-01-19,22.71875,22.8125,22.53125,22.8125,12800
1999-01-20,22.53125,22.8125,22.515625,22.59375,15800
1999-01-21,22.71875,22.90625,22.5,22.53125,23900
1999-01-22,22.59375,22.8125,22.5625,22.75,19300
1999-01-25,22.5625,22.6875,22.375,22.6875,18200
1999-01-26,22.34375,22.59375,22.15625,22.59375,25700
1999-01-27,21.9375,22.375,21.875,22.375,37100
1999-01-28,21.8125,22.0,21.625,22.0,30800
1999-01-29,21.8125,21.8125,21.4375,21.6875,18600
1999-02-01,21.59375,21.875,21.59375,21.8125,23100
1999-02-02,21.625,21.8125,21.53125,21.625,26500
1999-02-03,22.125,22.25,21.75,21.75,29400
1999-02-04,22.25,22.3125,22.0625,22.125,26000
1999-02-05,22.875,22.9375,22.1875,22.3125,66000
1999-02-08,23.1875,23.1875,22.9375,22.96875,31100
1999-02-09,22.75,23.21875,22.75,23.21875,64300
1999-02-10,22.8125,23.0625,22.6875,22.84375,69300
1999-02-11,22.625,22.71875,22.28125,22.71875,216800
1999-02-12,22.15625,22.625,22.15625,22.375,242300
1999-02-16,22.0,22.4375,21.78125,22.328125,36600
1999-02-17,21.78125,22.09375,21.75,21.875,41700
1999-02-18,21.84375,21.96875,21.53125,21.75,83000
1999-02-19,21.71875,21.96875,21.53125,21.9375,130300
1999-02-22,21.9375,22.0,21.6875,21.875,79500
1999-02-23,21.75,22.09375,21.75,22.0,309600
1999-02-24,21.65625,22.09375,21.65625,21.8125,34500
1999-02-25,21.765625,21.90625,21.625,21.640625,44600
1999-02-26,21.625,22.0,21.625,21.84375,24900
1999-03-01,21.40625,21.6875,21.34375,21.671875,13300
1999-03-02,21.1875,21.53125,21.09375,21.4375,55100
1999-03-03,21.65625,21.75,21.21875,21.375,103300
1999-03-04,22.4375,22.5625,21.84375,21.84375,90400
1999-03-05,22.859375,23.03125,22.625,23.0,92700
1999-03-08,23.1875,23.25,22.890625,22.984375,107600
1999-03-09,22.9375,23.3125,22.84375,22.9375,79000
1999-03-10,24.25,24.3125,23.03125,23.03125,1733800
1999-03-11,24.59375,25.25,24.25,25.0,909000
1999-03-12,24.5,25.0625,24.25,24.875,604300
1999-03-15,24.3125,24.625,24.015625,24.5625,523000
1999-03-16,24.1875,24.3125,24.0,24.09375,273300
1999-03-17,24.8125,24.84375,24.25,24.3125,362800
1999-03-18,25.125,25.3125,24.9375,25.25,332600
1999-03-19,24.78125,25.28125,24.625,25.25,260400
1999-03-22,24.9375,25.125,24.734375,25.0,165000
1999-03-23,24.5,24.75,24.25,24.75,137900
1999-03-24,24.375,24.71875,24.15625,24.625,61100
1999-03-25,24.4375,24.5625,24.0625,24.3125,166500
1999-03-26,24.75,24.875,24.46875,24.6875,44700
1999-03-29,25.4375,25.6875,25.34375,25.375,84400
1999-03-30,24.96875,25.3125,24.90625,25.28125,60800
1999-03-31,24.59375,25.1875,24.59375,25.15625,67000
1999-04-01,24.5625,24.65625,24.296875,24.625,22000
1999-04-05,25.15625,25.25,24.5625,24.5625,58400
1999-04-06,24.90625,25.125,24.71875,25.09375,42600
1999-04-07,24.65625,24.90625,24.46875,24.875,836400
1999-04-08,24.90625,25.1875,24.671875,24.765625,852300
1999-04-09,25.375,25.5,24.890625,24.921875,52400
1999-04-12,25.5625,25.75,25.25,25.25,62500
1999-04-13,25.53125,25.734375,25.40625,25.40625,67800
1999-04-14,25.21875,25.65625,25.21875,25.5,27000
1999-04-15,26.3125,26.4375,25.375,25.375,259400
1999-04-16,27.140625,27.15625,26.375,26.59375,88500
1999-04-19,27.46875,28.34375,27.4375,27.875,245500
1999-04-20,27.03125,27.5625,26.765625,27.5625,386400
1999-04-21,26.625,27.0625,26.375,26.875,181200
1999-04-22,27.09375,27.09375,26.25,26.5625,395900
1999-04-23,26.75,27.0,26.546875,26.984375,16300
1999-04-26,26.15625,26.5625,26.015625,26.5625,297800
1999-04-27,26.984375,27.0,26.4375,26.453125,82400
1999-04-28,27.875,28.28125,27.125,27.125,103700
1999-04-29,28.71875,28.875,26.75,26.8125,240100
1999-04-30,28.234375,28.625,28.0,28.375,966100
1999-05-03,28.9375,28.9375,28.0,28.25,276600
1999-05-04,28.96875,29.125,28.734375,28.96875,358500
1999-05-05,28.546875,28.9375,28.15625,28.9375,381000
1999-05-06,28.46875,28.75,28.03125,28.6875,402500
1999-05-07,28.640625,28.671875,28.109375,28.28125,360700
1999-05-10,28.3125,28.90625,28.3125,28.609375,270700
1999-05-11,28.40625,28.53125,28.25,28.5,71600
1999-05-12,27.875,28.0,27.25,27.75,531700
1999-05-13,28.015625,28.3125,27.875,28.0625,264700
1999-05-14,27.8125,28.0625,27.65625,27.875,254900
1999-05-17,27.703125,27.78125,27.375,27.4375,105800
1999-05-18,27.0625,27.5,27.015625,27.4375,33800
1999-05-19,27.4375,27.59375,27.015625,27.28125,280700
1999-05-20,27.75,27.84375,27.34375,27.34375,147500
1999-05-21,28.1875,28.34375,27.6875,27.875,215100
1999-05-24,27.515625,28.59375,27.515625,28.3125,310300
1999-05-25,27.40625,28.1875,27.40625,27.5625,451000
1999-05-26,28.1875,28.28125,27.625,27.78125,64700
1999-05-27,27.34375,28.375,27.34375,28.0,76700
1999-05-28,27.625,27.8125,27.3125,27.40625,107800
1999-06-01,27.46875,27.5625,27.015625,27.5625,421500
1999-06-02,27.78125,27.84375,27.578125,27.578125,32000
1999-06-03,27.875,28.25,27.875,28.09375,43300
1999-06-04,28.3125,28.3125,27.875,28.15625,22500
1999-06-07,28.640625,28.734375,28.28125,28.34375,182300
1999-06-08,28.1875,28.59375,28.1875,28.5,169800
1999-06-09,28.25,28.46875,28.125,28.15625,14400
1999-06-10,28.40625,28.53125,28.125,28.375,122100
1999-06-11,28.625,28.75,28.4375,28.5625,81700
1999-06-14,28.875,28.9375,28.53125,28.75,271000
1999-06-15,29.234375,29.34375,28.765625,28.9375,151300
1999-06-16,28.9375,29.375,28.84375,29.375,228800
1999-06-17,28.96875,29.0625,28.6875,28.75,64300
1999-06-18,28.875,29.125,28.78125,29.0,59800
1999-06-21,28.203125,28.8125,27.96875,28.8125,87500
1999-06-22,27.90625,28.078125,27.84375,27.875,251000
1999-06-23,28.125,28.25,28.015625,28.125,261800
1999-06-24,27.65625,27.9375,27.515625,27.9375,232500
1999-06-25,27.4375,27.65625,27.375,27.65625,265500
1999-06-28,27.265625,27.515625,27.171875,27.40625,55600
1999-06-29,27.640625,27.65625,27.15625,27.265625,68700
1999-06-30,28.046875,28.21875,27.75,27.75,108000
1999-07-01,28.265625,28.3125,27.96875,28.125,33200
1999-07-02,28.359375,28.453125,28.09375,28.28125,51600
1999-07-06,28.890625,29.109375,28.5,28.5,48800
1999-07-07,28.8125,28.84375,28.59375,28.84375,120600
1999-07-08,29.0,29.21875,28.953125,29.0,94300
1999-07-09,28.984375,29.09375,28.8125,28.890625,25700
1999-07-12,29.28125,29.28125,29.0,29.25,92200
1999-07-13,29.0,29.0625,28.8125,29.03125,46200
1999-07-14,29.046875,29.21875,28.84375,29.046875,18800
1999-07-15,29.3125,29.375,29.0625,29.234375,33000
1999-07-16,29.125,29.21875,28.9375,29.09375,27000
1999-07-19,29.015625,29.09375,28.78125,29.0625,24600
1999-07-20,28.25,28.9375,28.25,28.90625,18400
1999-07-21,28.5625,28.578125,28.0,28.0625,40500
1999-07-22,28.140625,28.1875,27.703125,28.03125,53500
1999-07-23,28.28125,28.453125,28.171875,28.375,56300
1999-07-26,27.75,28.4375,27.75,28.21875,71800
1999-07-27,27.75,28.0625,27.671875,27.9375,29700
1999-07-28,28.15625,28.25,27.59375,27.78125,14200
1999-07-29,27.984375,28.21875,27.90625,27.96875,29400
1999-07-30,28.578125,28.75,28.375,28.4375,40600
1999-08-02,27.953125,28.453125,27.953125,28.390625,13500
1999-08-03,28.3125,28.3125,28.0,28.203125,24500
1999-08-04,28.703125,28.828125,28.265625,28.265625,29100
1999-08-05,29.203125,29.25,28.84375,28.921875,58600
1999-08-06,29.15625,29.5,29.09375,29.375,40400
1999-08-09,29.859375,29.859375,29.328125,29.5,101700
1999-08-10,29.6875,29.9375,29.375,29.859375,61400
1999-08-11,29.875,29.875,29.265625,29.59375,105900
1999-08-12,29.9375,30.171875,29.6875,29.6875,146800
1999-08-13,29.84375,29.90625,29.6875,29.828125,223400
1999-08-16,29.546875,29.703125,29.296875,29.703125,872000
1999-08-17,29.765625,29.765625,29.46875,29.53125,550700
1999-08-18,29.546875,29.78125,29.515625,29.53125,675400
1999-08-19,29.75,29.84375,29.40625,29.40625,252400
1999-08-20,29.84375,29.921875,29.640625,29.6875,41600
1999-08-23,30.0,30.0625,29.78125,29.90625,98400
1999-08-24,29.8125,29.8125,29.578125,29.734375,380700
1999-08-25,29.671875,29.9375,29.359375,29.9375,292800
1999-08-26,28.90625,29.4375,28.875,29.4375,55600
1999-08-27,28.890625,29.109375,28.71875,29.0,38900
1999-08-30,28.5,29.0,28.5,29.0,103600
1999-08-31,28.890625,29.109375,28.5625,28.59375,291200
1999-09-01,28.8125,29.0625,28.796875,28.890625,70800
1999-09-02,28.5,28.703125,28.3125,28.59375,49900
1999-09-03,28.84375,28.9375,28.703125,28.84375,15300
1999-09-07,29.375,29.40625,28.78125,28.78125,149900
1999-09-08,29.46875,29.6875,29.1875,29.3125,48900
1999-09-09,30.125,30.296875,29.734375,29.734375,111800
1999-09-10,30.03125,30.3125,29.90625,30.3125,67300
1999-09-13,29.5625,29.75,29.484375,29.75,161000
1999-09-14,29.234375,29.625,28.25,28.25,226200
1999-09-15,28.8125,29.1875,28.75,29.0625,28200
1999-09-16,28.796875,28.875,28.5625,28.875,19300
1999-09-17,28.9375,28.96875,28.46875,28.6875,410900
1999-09-20,28.5,28.96875,28.390625,28.96875,231800
1999-09-21,27.5625,28.09375,27.3125,27.96875,203500
1999-09-22,27.59375,28.0,27.578125,27.6875,26900
1999-09-23,27.28125,27.9375,27.28125,27.8125,130600
